X,Y,In
1.786454801,1.430041065,1
0.690704646,1.096023482,1
1.097344494,1.571855231,1
0.302923854,1.622953266,1
1.900434935,0.461527877,0
1.820697453,0.530799726,1
0.91143433,1.510707848,1
1.427622181,1.884402828,1
0.051135361,1.983086805,0
0.873201525,0.228875022,1
1.001063488,0.889526653,1
0.516810635,0.432134093,1
1.380174446,0.756586159,1
1.660997451,0.454790359,1
0.198414009,0.866205749,1
1.332148534,1.623156719,1
0.449247519,0.819578914,1
1.774741677,1.533031291,1
0.998065732,1.244864272,1
1.963197959,1.409202621,0
0.912629028,0.596993973,1
1.732644645,0.681177384,1
0.745584195,0.93848815,1
0.840097459,1.427334446,1
0.301502745,1.983108418,0
1.510606171,0.709912667,1
0.902091398,1.174081343,1
0.767901266,1.493064359,1
1.428424364,0.937691194,1
1.55274983,0.543456827,1
0.229712299,0.216539455,0
1.359271951,0.274358912,1
1.059288545,0.973539085,1
0.155419539,0.493856508,1
0.163790364,1.184120303,1
0.174559511,0.679711295,1
1.424487118,1.628780674,1
0.754062734,1.121971006,1
0.57554975,1.930181226,0
0.498488455,1.672692655,1
1.576836536,1.796861401,1
0.177807187,0.386356192,0
1.309990372,1.664932984,1
1.370892437,0.945050982,1
0.311444872,0.851105576,1
1.635890147,1.09804322,1
1.21605087,0.376258113,1
0.38659296,1.759296142,1
1.568912063,1.65379221,1
1.8986124,0.14909551,0
0.334396814,0.614340104,1
1.407224626,0.479160769,1
0.598894637,1.049002389,1
1.626943244,1.92550247,0
0.618644849,0.415329975,1
1.763961372,1.557110151,1
0.104297356,1.275619927,1
0.668998756,1.786032592,1
0.222106336,0.698153674,1
0.101496922,0.440938181,0
0.220106885,0.492653205,1
0.232206126,1.137343801,1
0.230887553,1.320137,1
0.328029761,1.217758708,1
1.962415524,0.153505401,0
1.588957711,1.542979367,1
1.975232117,1.69595468,0
1.021163383,0.110372898,1
0.20342854,0.023912939,0
1.179976205,0.387174959,1
0.409986016,0.599571687,1
0.233283751,0.906120866,1
1.403363913,1.573730675,1
0.371623605,1.686760286,1
1.994746857,1.02618393,1
0.221698253,0.409272339,1
0.795004567,1.882553072,1
1.987426568,0.18041788,0
1.30814937,0.567250229,1
0.642334736,1.407778453,1
1.456012449,0.302877844,1
1.786998867,0.214921581,0
1.021315794,1.679614238,1
1.811883703,0.059143747,0
1.917812605,1.439917321,0
1.230725373,0.400649508,1
1.209628218,1.663214969,1
0.085346286,0.88846411,1
1.953258572,0.871585991,1
0.961532614,0.590018113,1
1.55307502,1.94204195,0
0.679235195,0.02557263,0
0.201788637,0.419134633,1
0.941224423,1.684571271,1
1.228737869,0.362418095,1
1.719183634,0.949329498,1
0.170936093,0.792777593,1
1.904174756,0.485306837,0
1.695794222,0.276781737,0
0.883656484,1.661208411,1
0.867140418,0.265748,1
1.089973224,1.954638317,1
0.048422091,1.292837886,1
0.418848863,1.743294254,1
0.695518399,1.289536142,1
1.894895018,0.561485155,1
1.000417982,1.048222574,1
0.617396103,0.489832725,1
1.829786109,1.291277305,1
0.587481459,0.053039849,0
0.113620075,0.578178696,1
1.508903791,0.701530648,1
0.129516809,1.281374053,1
0.710740223,0.377275835,1
0.979438255,1.840035808,1
0.139171638,1.197248668,1
1.481416955,0.712197456,1
0.026149428,0.245125123,0
0.146969678,0.480356394,1
1.826170343,0.252186148,0
0.596071527,1.995072143,0
1.228528845,1.232407863,1
1.675616838,0.214332642,0
1.537936098,1.596329059,1
0.445924882,1.533505907,1
1.171630416,0.275176386,1
0.086351577,0.792189036,1
0.843459602,1.802076763,1
1.161559978,1.17914449,1
1.038522561,0.885908004,1
1.659572236,1.402898088,1
1.920329824,1.42105579,0
1.075986928,0.372919477,1
0.380543209,0.515580675,1
0.694290575,0.264605889,1
1.745249708,1.799437747,0
1.065181436,1.429401261,1
1.045179985,0.181931886,1
0.894541703,1.928782665,1
0.096087729,0.315470819,0
0.159694404,0.782721725,1
0.851093127,0.277021114,1
1.859512615,0.459298694,0
0.317301798,0.735348443,1
1.070861181,1.985853523,1
0.83111789,1.612751321,1
1.385457271,0.533440685,1
1.056957507,0.418304164,1
0.480650803,0.270411778,1
1.879178319,1.238772231,1
1.232015912,0.310773879,1
0.86315868,1.770234082,1
1.778281879,0.430000864,1
0.966600142,1.18825921,1
0.826209829,0.45990868,1
1.920629981,1.232183839,1
1.211799792,1.565065128,1
1.34588553,1.973621265,0
0.040441244,0.501378554,0
0.935166097,1.559394624,1
0.783027219,0.124979678,1
0.258378637,1.954454156,0
0.037300475,1.326999349,0
1.315490874,0.426691265,1
0.15546347,0.010833487,0
1.503157901,0.894052094,1
0.115017984,1.62930505,0
0.321824248,0.409251804,1
0.779063135,1.872605695,1
0.032268954,1.306320149,0
1.643395219,0.16443096,0
0.279182077,1.52012408,1
0.27529451,0.157611984,0
0.627980603,0.287922748,1
0.871905368,1.00944206,1
1.23849995,0.314070022,1
0.121457812,1.62022569,0
0.671555959,1.304187807,1
0.333305464,1.229112081,1
1.590959532,1.191906764,1
1.418343708,1.472025092,1
1.423741734,0.319130608,1
0.308106016,0.490823683,1
1.996982169,1.931098189,0
1.08292193,1.606411338,1
1.774046516,1.640174395,0
1.688381431,0.600656732,1
0.251500325,0.413735445,1
0.622274301,0.997157357,1
1.581997487,1.550677544,1
1.638137777,0.289665003,1
1.674033765,1.026983299,1
0.040817706,1.05987046,1
1.936093479,1.028371634,1
0.838230431,1.8592613,1
1.786498424,0.984392195,1
0.124185186,0.012099977,0
0.788113234,1.106377561,1
1.91891927,0.606150226,1
0.702013051,1.98207438,0
0.569555295,0.418340649,1
1.526970057,0.652319472,1
1.455461293,1.413211759,1
1.651608583,0.3395119,1
1.912264763,1.860562674,0
0.168615896,1.639731164,0
1.058309341,0.994611444,1
1.006387356,0.032163999,1
1.27435643,1.708750527,1
1.863446011,0.322905581,0
0.609118295,1.579691132,1
0.937323223,1.118301519,1
0.27404586,1.437269988,1
1.505563141,0.085100558,0
1.659714144,0.337500964,1
1.164027317,1.228408172,1
1.285339996,1.631336496,1
1.101481407,0.157923238,1
0.490570261,1.841968388,1
1.869855332,0.805918027,1
1.933370226,1.199394378,1
1.457159942,1.809461306,1
0.026690381,1.819929196,0
1.843738731,0.555786213,1
0.435879414,0.361783633,1
1.684021089,1.361433123,1
1.316403829,1.38418977,1
0.7241286,0.945541852,1
0.434759227,1.925195171,0
0.442269732,0.91046192,1
1.837490752,1.317478395,1
1.231844925,1.239265747,1
1.35049909,1.132851385,1
0.483587033,0.62038961,1
1.869816055,1.254434951,1
0.889638111,1.941913247,1
1.949171779,1.271614092,1
1.380166668,0.351703295,1
1.277262228,1.009841162,1
0.361426377,1.845246588,0
0.797148748,0.817102471,1
0.313987345,1.914874248,0
1.547420056,0.074839226,0
0.507108838,1.307224212,1
1.322032623,0.30176321,1
1.506291064,0.464754561,1
1.795421017,0.701850306,1
1.476002583,1.815200336,1
1.065559409,0.068849287,1
0.703781501,1.604688372,1
0.974574449,1.65252522,1
1.353039577,0.778073265,1
0.455321628,0.189734388,1
1.535194325,1.240594898,1
0.882604704,0.471717433,1
1.197100829,0.307806809,1
1.574444186,1.743809558,1
1.576239271,1.045994399,1
1.627623307,0.3963747,1
0.545899558,1.896543063,0
0.954762169,0.50232847,1
0.318545013,0.73839703,1
0.103114017,0.861030142,1
0.317027058,1.83244621,0
1.228393296,0.174538451,1
0.216760865,0.643569624,1
0.097308058,0.161671057,0
0.235635647,1.811871065,0
1.027114263,0.121143002,1
0.819593445,1.652888973,1
1.045197311,1.510406344,1
1.808792318,1.237804739,1
0.32951066,1.76411648,0
1.778696475,0.071324376,0
1.534725508,1.878241595,0
0.073743422,1.540687725,0
1.665532234,0.88355315,1
1.001746127,0.479925572,1
1.938152491,1.606919194,0
1.096392624,0.763452477,1
0.469404038,1.358068502,1
0.752402962,1.767847379,1
1.662007456,0.208153018,0
1.748567249,0.317400083,0
0.536712836,0.748896896,1
1.388398033,1.531330553,1
0.962372617,0.032332464,1
1.484730421,1.415027633,1
1.213889041,1.66455501,1
1.18939597,0.511335366,1
0.284706414,1.993011319,0
0.583582458,0.706877941,1
0.463898199,1.004481335,1
1.757626225,1.767888802,0
1.627429192,0.815814556,1
0.875108034,1.771150498,1
1.003581852,1.941683581,1
0.417926968,0.099933281,0
1.929540627,1.112825855,1
0.997359056,1.467154297,1
1.147930999,0.270889806,1
0.903145471,0.516348964,1
0.272517705,0.151174785,0
0.077789347,0.637019076,1
1.170234733,1.120294029,1
0.254288731,1.385657258,1
1.725371341,1.66837924,1
1.90072061,0.757954902,1
1.597473879,0.065705111,0
1.100669909,1.153197522,1
1.17968151,0.693158455,1
1.800951632,1.947593852,0
1.901824296,0.251443942,0
1.628306964,1.893602187,0
1.468440627,0.619148284,1
0.443272897,0.487564053,1
1.649677,0.946668998,1
1.942564302,0.619516715,0
0.218481404,0.445649322,1
1.85030733,0.824563445,1
0.408373986,1.452955606,1
0.770432877,0.450898231,1
0.674772431,0.12891141,1
1.347831719,1.798854928,1
1.280482329,0.888381643,1
1.013540638,0.100996985,1
0.417665294,0.552546978,1
1.597276538,1.192540782,1
0.667483689,0.253402225,1
1.51405506,1.424335247,1
0.666884698,1.659674139,1
1.763610089,0.69472494,1
0.266074155,0.263181661,0
0.249533144,0.696161765,1
1.02161653,1.527586622,1
0.837621435,1.550536185,1
0.205303809,0.224830287,0
1.549161275,1.077742971,1
0.070066567,0.089926971,0
0.065211619,1.867005587,0
1.728508361,1.026814148,1
1.851990064,1.424703431,1
0.386503099,1.6360484,1
0.416792418,0.545468074,1
0.245396712,0.856770879,1
1.925733013,0.561244727,0
0.593543361,1.997154385,0
1.927712461,0.352942515,0
0.101400742,1.441461573,0
0.298548235,0.224710128,0
1.639985721,0.636091451,1
1.2357593,1.671605695,1
0.189114039,0.818573583,1
1.961069346,1.339245535,0
0.140104748,0.229457377,0
0.820388971,1.53227295,1
0.14067987,1.361106675,1
0.156638409,0.765029274,1
1.303291663,1.799763701,1
1.697784436,1.253492543,1
0.318482633,1.022718147,1
0.332532349,1.180468556,1
0.852098694,0.805088345,1
0.682384502,0.549992963,1
0.572307017,1.767400843,1
1.520885547,0.751926077,1
0.030252505,0.454916819,0
0.825560875,0.526268152,1
1.559678999,1.412683026,1
0.378272441,0.851869474,1
0.094644932,1.062723267,1
1.128030781,0.7084755,1
0.587650913,1.942476798,0
0.685872616,0.237664586,1
1.08874531,1.389285396,1
0.538600658,0.508652838,1
0.290815575,0.686194949,1
1.787158314,0.107877216,0
0.621253454,1.474429926,1
1.994232153,1.248956345,0
0.831292313,1.015576013,1
1.153948958,0.695063535,1
1.602702979,1.354760176,1
1.981373279,1.380576307,0
1.325000027,0.281837116,1
1.715593948,0.726814647,1
1.190354994,0.004970704,0
0.235705341,1.31823061,1
1.241471871,1.736570485,1
0.130770832,1.311115152,1
0.512239227,0.989693096,1
0.198831902,0.06291187,0
1.817783747,0.503472862,1
0.782755457,1.827204491,1
0.138043978,1.83737191,0
1.976677116,1.357670594,0
0.566886407,1.274150172,1
0.702997425,1.189107009,1
1.919469816,1.163776435,1
1.908582539,1.698672489,0
1.982963944,0.049562293,0
0.980752981,0.91976893,1
1.762661231,1.746480047,0
1.681944601,0.207579213,0
0.435899606,1.589713508,1
1.761617349,0.555708586,1
1.455209209,0.620324279,1
0.986798137,0.203559809,1
0.359224814,1.504856418,1
1.147701509,0.864932859,1
1.984572692,1.418532901,0
0.532811513,1.989348215,0
0.144972879,1.688529951,0
1.418655985,0.459884651,1
1.374028624,1.502279867,1
1.034564111,1.447804929,1
0.75369652,1.509930759,1
0.784328773,0.251979016,1
1.196703505,1.15901809,1
0.757453899,1.116019347,1
1.740148307,1.771669819,0
1.798650916,0.566861212,1
1.451674501,1.726618388,1
1.748858601,1.845204007,0
1.932370927,1.229717724,1
1.627879677,1.149909541,1
1.873641365,0.657838161,1
1.750965352,1.683676899,0
0.406649949,1.291919303,1
1.454109235,0.230603971,1
1.7495157,0.446471642,1
1.788607763,0.646873429,1
0.249433106,0.219616963,0
0.12654007,1.30321486,1
0.459141895,0.052241547,0
1.192461574,0.121962576,1
1.383019664,1.692591167,1
0.282309838,1.995233849,0
0.363501375,1.950207219,0
1.402579808,0.674760644,1
1.492547447,1.680218471,1
1.347957404,1.406373429,1
1.777700374,0.323575082,0
0.770716143,1.826441137,1
0.372552042,1.174543364,1
1.037100933,0.849149756,1
0.290217974,0.041718318,0
1.133113045,1.055313436,1
0.308617335,1.026716566,1
0.841454822,1.627497936,1
0.850181121,0.700640478,1
0.190027464,1.497919793,1
1.665004412,0.572997658,1
0.535517596,1.594407991,1
1.041201717,0.699948428,1
1.763601328,0.935246926,1
0.309414313,1.743511917,0
0.410591011,1.507103875,1
0.866789272,0.987386614,1
0.260023238,0.076493664,0
0.456094927,0.107853024,0
1.309797607,1.092843776,1
0.955520431,0.796554218,1
1.613724536,0.496053351,1
0.342276993,1.571814133,1
0.053781169,1.192410971,1
0.3471987,1.598830486,1
1.647480532,0.411661381,1
0.037695939,0.300333053,0
1.231517764,0.53546144,1
1.626222307,0.001528495,0
0.721702415,1.469746995,1
0.813901622,1.931676793,1
1.935156995,1.644911996,0
0.630591509,0.111493848,1
0.50731571,0.639155246,1
0.180493991,0.952889929,1
0.599537301,0.085238281,1
0.376906691,0.520619939,1
0.867632808,1.055127494,1
1.659698208,0.592956179,1
1.577129112,1.956988995,0
1.713254411,1.092606153,1
1.795930937,1.6234106,0
0.987128974,0.408346527,1
0.962057396,0.091928108,1
0.03676328,0.924654771,1
0.389532132,0.926015045,1
1.039315967,1.354540008,1
0.246616743,0.551336037,1
0.036860103,1.255606743,1
0.250212775,1.335422919,1
0.979163943,0.468545196,1
0.57289551,0.906706353,1
1.427091883,0.465291516,1
1.872114453,1.880735712,0
0.950826076,0.001745526,1
1.435478398,0.402739763,1
1.660438358,1.243629089,1
1.895918097,1.039681908,1
1.450660692,0.9450462,1
0.383205255,0.515069441,1
0.785089429,0.687132,1
1.713991966,1.198893722,1
1.715937591,0.95282718,1
0.872267906,1.434723912,1
0.790547133,0.288481088,1
0.670425097,1.957391338,0
1.519329769,1.563096463,1
0.766475109,1.63503111,1
0.01734339,1.495584937,0
1.22461899,0.113677906,1
0.827209573,1.290633696,1
1.344136107,1.446572719,1
0.901452196,0.404500339,1
1.876923289,0.15293956,0
0.842220516,1.81717767,1
1.905293127,0.943548707,1
0.414198046,1.067497247,1
1.019519179,0.117577149,1
1.044829099,0.795664373,1
1.751944247,1.096433182,1
0.721169854,0.952442093,1
1.122444149,0.184450931,1
1.77764613,0.231928371,0
1.754097279,0.816553943,1
1.633147484,1.038793902,1
1.51273786,0.963775657,1
0.314252674,0.426046302,1
1.739710798,0.878877558,1
0.323464616,0.150421893,0
0.300497552,0.741859541,1
0.142831197,0.566366192,1
1.396960787,1.537027483,1
1.746583103,1.298424179,1
1.752633947,0.429605916,1
0.600528121,0.945098928,1
1.935817456,1.584316768,0
1.851767354,0.170838356,0
1.34482654,0.649814073,1
1.062722761,1.687041041,1
0.554089828,1.445315682,1
0.585838699,1.417008763,1
0.424117958,1.925154986,0
1.632932106,1.277984406,1
0.545841574,0.650220686,1
1.995907221,0.277746051,0
0.027849872,0.947035004,1
0.250582987,1.602316546,1
1.355623828,0.208757076,1
1.518577093,0.784395592,1
1.173264212,0.450582039,1
0.428724673,1.80798314,1
0.904170548,1.626479375,1
0.064776137,1.896498287,0
1.110939462,0.712324389,1
0.292309451,1.673730654,1
0.543582051,1.712134882,1
1.624514886,1.126991006,1
0.855958213,0.854910769,1
0.440389195,1.357804354,1
1.844042311,1.695049863,0
0.181088115,0.123622714,0
1.878935088,0.340800656,0
1.677070479,0.218182741,0
1.098364395,0.106759721,1
0.410443529,0.153937249,0
0.30331284,1.998125581,0
1.63069644,1.39357534,1
0.771225807,1.703146598,1
0.876226349,0.067743874,1
0.294627445,0.940790313,1
1.448480767,0.208068894,1
0.597432347,0.335692075,1
1.938311772,1.561871632,0
0.181865235,1.793877055,0
0.615422642,0.229199022,1
0.697136589,1.549748272,1
0.36185426,1.564006981,1
0.753382988,1.515863156,1
1.411602191,0.058655829,0
1.494411614,0.084931635,0
0.193976057,1.452586927,1
0.494057815,1.001952804,1
0.715938367,1.571446053,1
0.505424589,0.087396852,0
1.23687602,0.661208381,1
1.125347624,1.850270237,1
0.280809938,0.698952662,1
0.202814563,1.464383064,1
0.105856468,0.201876411,0
0.506734543,0.363943646,1
1.999413748,0.836578625,0
0.335759059,1.228729553,1
1.683483035,0.527489883,1
1.655431114,1.630362165,1
1.573350763,0.886117445,1
1.187386988,0.084046011,1
0.542350544,1.967706151,0
0.08748341,0.774036102,1
0.343046757,0.125494908,0
1.409311699,1.445585924,1
0.266217492,0.618826471,1
1.238744218,0.287695208,1
1.128006705,0.361381585,1
0.145548612,0.311044602,0
0.848339662,1.396584707,1
0.140868815,0.438259206,0
1.2887818,1.389720166,1
0.341894664,1.345438634,1
1.542750437,0.612753198,1
1.993469563,0.373086237,0
0.732664414,0.612356776,1
0.13408387,1.204515124,1
0.115466019,0.134878641,0
0.603201409,1.983258203,0
1.628089808,0.121639444,0
1.0181851,0.994743884,1
0.272163097,0.006583193,0
1.221009813,0.378458135,1
1.318961285,1.147925275,1
0.251911901,1.394066368,1
0.916545688,1.082580869,1
0.245678506,1.456580337,1
0.003923913,1.661549206,0
1.701607319,1.270020722,1
0.709424954,1.59384696,1
0.542142693,1.737860814,1
0.364764222,0.662214364,1
1.837668818,1.627000793,0
1.866816958,0.172862417,0
0.137407144,1.186080623,1
1.977322246,1.992866578,0
1.181079379,0.473669888,1
1.45108997,0.369102254,1
0.181488886,1.651141897,0
1.124593284,0.627495597,1
1.411195982,1.034847803,1
1.128879933,0.909626384,1
0.435367711,0.285054471,1
0.494145772,0.463922472,1
0.134748939,1.246205481,1
0.786524864,1.598363331,1
1.479084022,1.399467509,1
1.954330884,1.452814361,0
0.624508628,1.537796327,1
1.453194512,1.853852541,1
1.195835569,1.789103286,1
0.307863045,0.664998889,1
1.713485454,1.425663484,1
1.427761131,0.85122088,1
0.649069596,1.13902195,1
0.754547025,1.099916368,1
1.848865628,1.71788561,0
0.688565275,0.139289702,1
1.665275026,1.561884035,1
0.203687844,1.65638765,0
0.582631454,0.924557547,1
1.328477079,0.487197445,1
0.806734469,0.505010221,1
1.480447457,0.073460438,0
0.640868578,1.009967262,1
1.906353041,1.60679966,0
0.031518067,1.034943178,1
1.491688514,1.47586406,1
0.711769053,1.624569463,1
1.274329101,0.50470992,1
0.169668255,0.508187856,1
1.36593794,0.949409269,1
1.224831356,1.226514282,1
0.948336659,1.702165777,1
0.199451377,0.138410632,0
0.62041037,1.340255002,1
0.079689547,1.431606815,0
1.260412757,0.315058424,1
0.346831956,0.63015117,1
1.07442281,0.7100895,1
1.258847924,0.891954099,1
0.195637611,0.52942201,1
0.638261109,0.134738269,1
0.965009464,0.099670189,1
1.64693767,0.465811641,1
0.8719592,0.132347009,1
0.913139088,0.841108999,1
1.066144506,0.013440413,1
1.104764091,1.352175776,1
1.240658979,0.712657909,1
1.124247285,1.816226415,1
0.08675812,0.069200994,0
1.616494023,1.38055453,1
1.36075011,0.023700031,0
0.485799668,1.136860872,1
0.240137025,1.920463035,0
0.10133651,1.047980204,1
0.392775207,0.229372343,1
1.036028747,1.013524711,1
0.701386059,1.738893444,1
0.981426262,0.249743836,1
1.765422454,1.665145212,0
1.032680442,0.687574147,1
1.578764591,0.584287358,1
0.488139561,0.223884166,1
0.799441823,0.099612517,1
0.062882138,0.192755104,0
0.38609521,0.614936423,1
1.90210878,1.184771482,1
1.322422868,1.082686702,1
0.489092152,0.238577587,1
0.325274227,1.663671024,1
1.815303357,0.140287285,0
0.239190685,1.364648788,1
0.020180509,0.24907904,0
1.359764628,1.334445383,1
1.882224606,0.524943401,0
1.561730042,0.780585641,1
0.340454722,1.444057091,1
0.152183582,0.101559146,0
0.431303844,0.308426934,1
1.510960215,0.865714252,1
1.238772175,1.638642984,1
0.687215503,0.352584957,1
1.46065291,1.310782224,1
1.640326643,0.122295641,0
0.09666606,0.600136232,1
0.79437248,0.61388996,1
1.760985843,1.457169221,1
0.276885194,0.781026692,1
1.957066539,0.649496922,0
1.827802692,0.814864094,1
1.065580253,0.223543009,1
1.852470669,1.663549207,0
1.454833638,1.344433637,1
0.590261684,0.741540862,1
0.007038842,1.624144825,0
1.017676553,0.587625707,1
1.905402073,0.515663501,0
0.287800183,1.284723896,1
1.149406153,1.103748649,1
1.940025841,1.715795169,0
0.190959641,1.167440172,1
1.201665666,0.635221381,1
0.739799004,1.11884786,1
1.380532274,0.825168326,1
1.48600307,0.83470017,1
1.664483574,0.963894701,1
1.189704864,1.499611746,1
1.136770288,0.750392788,1
1.006806823,0.715660172,1
1.235710228,0.401926716,1
0.823694608,0.476962515,1
0.043589362,1.332255082,0
0.261299251,0.260011067,0
1.759745363,1.584713603,1
0.337627703,1.512467448,1
1.932949346,0.698405599,1
1.03931781,1.415013469,1
0.202120972,1.690427143,0
0.331079267,0.549581742,1
0.397532346,0.644410245,1
0.187720632,1.874148914,0
0.598352788,1.678728335,1
0.032482458,0.365506105,0
0.408774731,1.972151541,0
0.492661717,0.543811103,1
1.471118718,1.162673479,1
1.49327835,0.085148856,0
0.322071873,0.727435713,1
0.995206148,1.248257131,1
1.184914701,1.202236611,1
0.012099515,0.076778385,0
1.352050611,0.515867675,1
0.927886194,0.606793359,1
0.853385966,1.002456025,1
1.722949597,0.036326344,0
0.889841626,1.934129606,1
1.546847495,0.950212502,1
1.396429485,0.502899595,1
1.556251955,1.771927897,1
1.181631468,1.381193154,1
1.998329183,0.221036434,0
1.750175562,0.774100167,1
1.208414231,1.308949723,1
0.455583572,1.19775664,1
1.803602868,1.048205385,1
0.924946312,1.232177677,1
1.843776528,0.184961102,0
0.17910827,1.721473562,0
0.418959002,0.655611036,1
0.194657548,0.978642914,1
1.522219473,0.312472163,1
0.327661887,0.340652622,1
1.649334166,1.525104591,1
0.927422934,0.25509826,1
0.961650922,0.168261553,1
0.483850997,0.181762454,1
0.576445089,0.665362985,1
1.15075391,0.179559288,1
0.225970284,1.007718784,1
0.346560426,1.624431331,1
0.449970155,1.37079084,1
0.925762393,0.143061769,1
1.006402705,0.894699439,1
1.565926089,1.870054709,0
0.111748622,0.313142737,0
0.114000685,0.744803556,1
0.899384601,1.564800612,1
1.597525045,1.395590821,1
1.048693405,1.804142362,1
0.223823183,0.737760364,1
0.675005482,0.053744397,0
1.0249664,0.722394089,1
1.734387451,1.837435041,0
0.156829348,0.491055435,1
1.701733889,1.002731733,1
0.46139031,1.533570581,1
0.690562529,0.9998101,1
0.774246612,1.566000617,1
1.675516326,0.316030449,1
1.954296821,1.789384896,0
0.346211925,1.997423839,0
1.870334533,1.016720927,1
1.441887482,0.492924626,1
0.036034348,1.959215654,0
1.803897487,1.806327393,0
0.186201596,1.174761228,1
1.338236135,1.774072892,1
0.169224847,1.050385095,1
1.230854845,0.114778849,1
0.53049402,0.995128392,1
1.822880442,0.751242114,1
0.91759324,1.253626981,1
1.012339357,1.108517426,1
1.404770183,0.732490122,1
1.376191496,1.444820995,1
0.205138113,1.823547959,0
0.348596686,1.658372169,1
0.334946341,0.146773401,0
1.345028135,0.160853427,1
0.615047257,1.378662892,1
1.903977347,0.271245545,0
